Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber129_Completeness0.98_SequenceLength694_Horizon12_WindowSize6.pt,0.4699481012705057,0.08784773060029283,3.0
LSTM_TestNumber12_Completeness1_SequenceLength216_Horizon6_WindowSize24.pt,0.7659949246323593,0.0,4.1
LSTM_TestNumber130_Completeness0.98_SequenceLength694_Horizon12_WindowSize12.pt,0.3915439629792101,0.14652014652014653,2.5
LSTM_TestNumber131_Completeness0.98_SequenceLength694_Horizon12_WindowSize24.pt,0.3454023957270996,0.14671361502347416,2.3
LSTM_TestNumber132_Completeness0.98_SequenceLength694_Horizon12_WindowSize48.pt,0.38492096810581894,0.04414361389052383,2.6
LSTM_TestNumber133_Completeness0.98_SequenceLength694_Horizon12_WindowSize96.pt,0.43751452854969797,0.0739863865048831,2.6
LSTM_TestNumber135_Completeness0.98_SequenceLength694_Horizon24_WindowSize3.pt,0.7263749138134259,0.04396892862377254,3.7
LSTM_TestNumber136_Completeness0.98_SequenceLength694_Horizon24_WindowSize6.pt,0.7877375511700234,0.0,3.4
LSTM_TestNumber137_Completeness0.98_SequenceLength694_Horizon24_WindowSize12.pt,0.5433471440538958,0.07335680751173708,3.0
LSTM_TestNumber138_Completeness0.98_SequenceLength694_Horizon24_WindowSize24.pt,0.488612547003935,0.0,3.0
LSTM_TestNumber139_Completeness0.98_SequenceLength694_Horizon24_WindowSize48.pt,0.598728054987918,0.0,3.5
LSTM_TestNumber13_Completeness1_SequenceLength216_Horizon6_WindowSize48.pt,0.5460362331524724,0.02940744008234083,3.4
LSTM_TestNumber140_Completeness0.98_SequenceLength694_Horizon24_WindowSize96.pt,0.8276221181860712,0.02963841138114997,3.4
LSTM_TestNumber142_Completeness0.98_SequenceLength1388_Horizon3_WindowSize3.pt,0.22492025946278452,0.4385964912280701,1.6
LSTM_TestNumber143_Completeness0.98_SequenceLength1388_Horizon3_WindowSize6.pt,0.21961269848285664,0.5265467310223783,1.6
LSTM_TestNumber144_Completeness0.98_SequenceLength1388_Horizon3_WindowSize12.pt,0.19939690789181372,0.4830210772833724,1.5
LSTM_TestNumber145_Completeness0.98_SequenceLength1388_Horizon3_WindowSize24.pt,0.2404108016189968,0.3957203576139528,1.6
