,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
191,2021-12-04 16:30:00,1331,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:30:00,16:30,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:30,2021-48,16,990,2021-4,12,4,5,Saturday
27563,2022-11-19 13:45:00,1329,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 13:45:00,13:45,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-46,13,825,2022-4,11,4,5,Saturday
29583,2022-12-10 18:00:00,1328,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 18:00:00,18:00,2022-12-10 18,2022-12 18,12 18,2022-12,Saturday 18:00,2022-49,18,1080,2022-4,12,4,5,Saturday
30214,2022-12-17 11:30:00,1323,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 11:30:00,11:30,2022-12-17 11,2022-12 11,12 11,2022-12,Saturday 11:30,2022-50,11,690,2022-4,12,4,5,Saturday
30682,2022-12-22 12:30:00,1323,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-22,1900-01-01 12:30:00,12:30,2022-12-22 12,2022-12 12,12 12,2022-12,Thursday 12:30,2022-51,12,750,2022-4,12,4,3,Thursday
30743,2022-12-23 13:30:00,1322,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 13:30:00,13:30,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-51,13,810,2022-4,12,4,4,Friday
31306,2022-12-29 14:15:00,1322,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-29,1900-01-01 14:15:00,14:15,2022-12-29 14,2022-12 14,12 14,2022-12,Thursday 14:15,2022-52,14,855,2022-4,12,4,3,Thursday
29574,2022-12-10 15:45:00,1321,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-10,1900-01-01 15:45:00,15:45,2022-12-10 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-49,15,945,2022-4,12,4,5,Saturday
30221,2022-12-17 13:15:00,1314,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-17,1900-01-01 13:15:00,13:15,2022-12-17 13,2022-12 13,12 13,2022-12,Saturday 13:15,2022-50,13,795,2022-4,12,4,5,Saturday
31121,2022-12-27 15:45:00,1314,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 15:45:00,15:45,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:45,2022-52,15,945,2022-4,12,4,1,Tuesday
28221,2022-11-26 13:00:00,1311,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-26,1900-01-01 13:00:00,13:00,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:00,2022-47,13,780,2022-4,11,4,5,Saturday
31120,2022-12-27 15:30:00,1309,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-27,1900-01-01 15:30:00,15:30,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:30,2022-52,15,930,2022-4,12,4,1,Tuesday
28138,2022-11-25 16:15:00,1307,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-25,1900-01-01 16:15:00,16:15,2022-11-25 16,2022-11 16,11 16,2022-11,Friday 16:15,2022-47,16,975,2022-4,11,4,4,Friday
30683,2022-12-22 12:45:00,1305,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-22,1900-01-01 12:45:00,12:45,2022-12-22 12,2022-12 12,12 12,2022-12,Thursday 12:45,2022-51,12,765,2022-4,12,4,3,Thursday
27561,2022-11-19 13:15:00,1304,person,NclNorthumberlandStSavilleRowWest,flow,2022-11,2022-11-19,1900-01-01 13:15:00,13:15,2022-11-19 13,2022-11 13,11 13,2022-11,Saturday 13:15,2022-46,13,795,2022-4,11,4,5,Saturday
1219,2021-12-20 13:30:00,1303,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-20,1900-01-01 13:30:00,13:30,2021-12-20 13,2021-12 13,12 13,2021-12,Monday 13:30,2021-51,13,810,2021-4,12,4,0,Monday
30747,2022-12-23 14:30:00,1301,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 14:30:00,14:30,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:30,2022-51,14,870,2022-4,12,4,4,Friday
38848,2023-03-18 14:45:00,1301,person,NclNorthumberlandStSavilleRowWest,flow,2023-03,2023-03-18,1900-01-01 14:45:00,14:45,2023-03-18 14,2023-03 14,03 14,2023-03,Saturday 14:45,2023-11,14,885,2023-1,3,1,5,Saturday
189,2021-12-04 16:00:00,1298,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 16:00:00,16:00,2021-12-04 16,2021-12 16,12 16,2021-12,Saturday 16:00,2021-48,16,960,2021-4,12,4,5,Saturday
174,2021-12-04 12:00:00,1295,person,NclNorthumberlandStSavilleRowWest,flow,2021-12,2021-12-04,1900-01-01 12:00:00,12:00,2021-12-04 12,2021-12 12,12 12,2021-12,Saturday 12:00,2021-48,12,720,2021-4,12,4,5,Saturday
30744,2022-12-23 13:45:00,1295,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-23,1900-01-01 13:45:00,13:45,2022-12-23 13,2022-12 13,12 13,2022-12,Friday 13:45,2022-51,13,825,2022-4,12,4,4,Friday
28902,2022-12-03 15:45:00,1295,person,NclNorthumberlandStSavilleRowWest,flow,2022-12,2022-12-03,1900-01-01 15:45:00,15:45,2022-12-03 15,2022-12 15,12 15,2022-12,Saturday 15:45,2022-48,15,945,2022-4,12,4,5,Saturday
