,dt,value,veh_class,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
28054,2022-11-26 15:15:00,1087,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 15:15:00,15:15,2022-11-26 15,2022-11 15,11 15,2022-11,Saturday 15:15,2022-47,15,915,2022-4,11,4,5,Saturday
28057,2022-11-26 16:00:00,1071,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 16:00:00,16:00,2022-11-26 16,2022-11 16,11 16,2022-11,Saturday 16:00,2022-47,16,960,2022-4,11,4,5,Saturday
30570,2022-12-23 14:45:00,1070,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 14:45:00,14:45,2022-12-23 14,2022-12 14,12 14,2022-12,Friday 14:45,2022-51,14,885,2022-4,12,4,4,Friday
1038,2021-12-18 16:00:00,1060,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 16:00:00,16:00,2021-12-18 16,2021-12 16,12 16,2021-12,Saturday 16:00,2021-50,16,960,2021-4,12,4,5,Saturday
30936,2022-12-27 15:30:00,1058,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-27,1900-01-01 15:30:00,15:30,2022-12-27 15,2022-12 15,12 15,2022-12,Tuesday 15:30,2022-52,15,930,2022-4,12,4,1,Tuesday
30573,2022-12-23 15:30:00,1051,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-23,1900-01-01 15:30:00,15:30,2022-12-23 15,2022-12 15,12 15,2022-12,Friday 15:30,2022-51,15,930,2022-4,12,4,4,Friday
1857,2021-12-27 13:15:00,1050,person,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-27,1900-01-01 13:15:00,13:15,2021-12-27 13,2021-12 13,12 13,2021-12,Monday 13:15,2021-52,13,795,2021-4,12,4,0,Monday
30052,2022-12-17 15:00:00,1049,person,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-17,1900-01-01 15:00:00,15:00,2022-12-17 15,2022-12 15,12 15,2022-12,Saturday 15:00,2022-50,15,900,2022-4,12,4,5,Saturday
6244,2022-02-15 11:00:00,1045,person,NclNorthumberlandStSavilleRowEast,flow,2022-02,2022-02-15,1900-01-01 11:00:00,11:00,2022-02-15 11,2022-02 11,02 11,2022-02,Tuesday 11:00,2022-07,11,660,2022-1,2,1,1,Tuesday
28048,2022-11-26 13:45:00,1045,person,NclNorthumberlandStSavilleRowEast,flow,2022-11,2022-11-26,1900-01-01 13:45:00,13:45,2022-11-26 13,2022-11 13,11 13,2022-11,Saturday 13:45,2022-47,13,825,2022-4,11,4,5,Saturday
