Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber238_Completeness0.95_SequenceLength3864_Horizon12_WindowSize96.pt,0.40077855600499673,0.38472920982539216,2.5
LSTM_TestNumber23_Completeness1_SequenceLength216_Horizon12_WindowSize3.pt,0.6343689606903037,0.23419203747072598,2.6
LSTM_TestNumber240_Completeness0.95_SequenceLength3864_Horizon24_WindowSize3.pt,0.45644267870737815,0.4836582148614978,2.7
LSTM_TestNumber241_Completeness0.95_SequenceLength3864_Horizon24_WindowSize6.pt,0.4206986812952268,0.3372434017595308,2.5
LSTM_TestNumber242_Completeness0.95_SequenceLength3864_Horizon24_WindowSize12.pt,0.480315104004389,0.39612676056338025,2.7
LSTM_TestNumber243_Completeness0.95_SequenceLength3864_Horizon24_WindowSize24.pt,0.44575092872006195,0.484866294446077,2.6
LSTM_TestNumber244_Completeness0.95_SequenceLength3864_Horizon24_WindowSize48.pt,0.4404774417115985,0.6040960660085457,2.4
LSTM_TestNumber245_Completeness0.95_SequenceLength3864_Horizon24_WindowSize96.pt,0.4059010434034386,0.4593953764078246,2.4
LSTM_TestNumber247_Completeness0.95_SequenceLength5152_Horizon1_WindowSize3.pt,0.22711822128778963,0.5408565999122935,1.4
LSTM_TestNumber248_Completeness0.95_SequenceLength5152_Horizon1_WindowSize6.pt,0.17650427999572513,1.0089194326655944,1.0
LSTM_TestNumber249_Completeness0.95_SequenceLength5152_Horizon1_WindowSize12.pt,0.21405556205640658,0.7609013754755634,1.2
LSTM_TestNumber24_Completeness1_SequenceLength216_Horizon12_WindowSize6.pt,1.9874087467008414,0.0,8.5
LSTM_TestNumber25_Completeness1_SequenceLength216_Horizon12_WindowSize12.pt,0.9826907766564122,0.48351648351648346,4.3
LSTM_TestNumber26_Completeness1_SequenceLength216_Horizon12_WindowSize24.pt,1.1588654341008198,0.13204225352112675,5.2
LSTM_TestNumber27_Completeness1_SequenceLength216_Horizon12_WindowSize48.pt,0.622615269576956,0.5150088287227781,2.8
LSTM_TestNumber28_Completeness1_SequenceLength216_Horizon12_WindowSize96.pt,0.8007809226016895,0.1331754957087896,4.3
LSTM_TestNumber2_Completeness1_SequenceLength216_Horizon1_WindowSize3.pt,0.7568298789234049,0.0146177459435755,4.1
LSTM_TestNumber30_Completeness1_SequenceLength216_Horizon24_WindowSize3.pt,1.2571349374510579,0.16121940495383263,5.9
LSTM_TestNumber31_Completeness1_SequenceLength216_Horizon24_WindowSize6.pt,1.0613540552526595,0.17595307917888564,4.4
LSTM_TestNumber32_Completeness1_SequenceLength216_Horizon24_WindowSize12.pt,0.987017967179462,0.05868544600938967,4.1
LSTM_TestNumber33_Completeness1_SequenceLength216_Horizon24_WindowSize24.pt,0.7427534697987866,0.08815750808110491,3.5
LSTM_TestNumber34_Completeness1_SequenceLength216_Horizon24_WindowSize48.pt,0.4838831184194065,0.6040960660085457,2.5
LSTM_TestNumber35_Completeness1_SequenceLength216_Horizon24_WindowSize96.pt,0.47337391372055554,0.26674570243034973,2.8
LSTM_TestNumber37_Completeness1_SequenceLength432_Horizon1_WindowSize3.pt,1.4039716252365264,0.0,8.6
LSTM_TestNumber38_Completeness1_SequenceLength432_Horizon1_WindowSize6.pt,1.838379977836404,0.0,10.0
LSTM_TestNumber39_Completeness1_SequenceLength432_Horizon1_WindowSize12.pt,0.7847539549354258,0.23412350014632718,4.2
LSTM_TestNumber3_Completeness1_SequenceLength216_Horizon1_WindowSize6.pt,1.037825437553725,0.0,5.8
LSTM_TestNumber40_Completeness1_SequenceLength432_Horizon1_WindowSize24.pt,0.7929403652434833,0.3223915592028136,4.8
LSTM_TestNumber41_Completeness1_SequenceLength432_Horizon1_WindowSize48.pt,0.5182667505306386,0.47024246877296105,2.6
LSTM_TestNumber42_Completeness1_SequenceLength432_Horizon1_WindowSize96.pt,0.2968765665102442,1.0492093985517954,1.9
LSTM_TestNumber44_Completeness1_SequenceLength432_Horizon3_WindowSize3.pt,0.7682846073090194,0.0584795321637427,3.1
LSTM_TestNumber45_Completeness1_SequenceLength432_Horizon3_WindowSize6.pt,0.8941937507101807,1.257861635220126,5.9
LSTM_TestNumber46_Completeness1_SequenceLength432_Horizon3_WindowSize12.pt,0.603024428622384,0.21955503512880564,2.8
LSTM_TestNumber47_Completeness1_SequenceLength432_Horizon3_WindowSize24.pt,0.6347108887559048,0.10259416678880258,2.7
LSTM_TestNumber48_Completeness1_SequenceLength432_Horizon3_WindowSize48.pt,1.0835494924801148,0.014697236919459141,7.0
